extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
1303,16.8556,0.255506,360.606,5.17172
1304,16.8891,0.261186,360.968,5.30243
1305,16.9215,0.272417,361.357,5.54694
1306,16.9517,0.289696,361.789,5.91569
1307,16.9788,0.313611,362.288,6.42092
1308,17.0012,0.344771,362.885,7.07521
1309,17.017,0.383673,363.618,7.88872
1310,17.0238,0.43047,364.536,8.86432
1311,17.0189,0.484617,365.699,9.99038
1312,16.9988,0.544407,367.172,11.2311
1313,16.9606,0.606479,369.019,12.5166
1314,16.9023,0.665545,371.278,13.7373
1315,16.8241,0.714711,373.942,14.7509
1316,16.73,0.746733,376.932,15.4083
1317,16.6272,0.756073,380.093,15.5961
1318,16.5254,0.740885,383.229,15.2777
1319,16.4339,0.703738,386.146,14.5073
1320,16.3595,0.650588,388.706,13.4086
1321,16.3053,0.588685,390.846,12.1317
1322,16.2711,0.524622,392.571,10.8124
1323,16.2547,0.463268,393.928,9.55058
1324,16.2529,0.407582,394.982,8.40693
1325,16.2627,0.35896,395.799,7.40972
1326,16.2812,0.317724,396.436,6.56525
1327,16.3062,0.283573,396.939,5.86706
1328,16.336,0.255901,397.345,5.30258
1329,16.3693,0.234008,397.68,4.85733
1330,16.405,0.217214,397.965,4.5173
1331,16.4425,0.204916,398.215,4.27004
1332,16.4812,0.196601,398.442,4.10497
1333,16.5207,0.191845,398.655,4.01328
1334,16.5605,0.190299,398.861,3.98766
1335,16.6004,0.19167,399.068,4.02196
1336,16.64,0.195709,399.281,4.11088
1337,16.6791,0.202193,399.506,4.2497
1338,16.7174,0.210919,399.749,4.43406
1339,16.7547,0.221686,400.015,4.65969
1340,16.7906,0.234285,400.311,4.92214
1341,16.8248,0.248486,400.642,5.21651
1342,16.8571,0.264021,401.015,5.53711
1343,16.8871,0.280569,401.436,5.87717
1344,16.9145,0.297745,401.91,6.22862
1345,16.9392,0.315089,402.442,6.58186
1346,16.961,0.332069,403.033,6.92585
1347,16.9798,0.34809,403.686,7.2483
1348,16.9957,0.362519,404.397,7.53618
1349,17.0091,0.374718,405.161,7.77656
1350,17.0203,0.3841,405.969,7.95753
