extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
5197,16.6998,0.193729,4409.51,14.5419
5198,16.7022,0.192902,4410.36,14.4898
5199,16.7047,0.192495,4411.21,14.4683
5200,16.7073,0.192473,4412.06,14.4747
5201,16.7098,0.192798,4412.92,14.5062
5202,16.7122,0.193426,4413.77,14.5592
5203,16.7145,0.194308,4414.64,14.6302
5204,16.7168,0.195393,4415.51,14.7153
5205,16.7189,0.196627,4416.39,14.8103
5206,16.7208,0.197954,4417.29,14.9111
5207,16.7226,0.199318,4418.19,15.0134
5208,16.7242,0.200663,4419.11,15.1131
5209,16.7257,0.201933,4420.04,15.206
5210,16.727,0.203073,4420.99,15.2881
5211,16.7281,0.204034,4421.94,15.3556
5212,16.7292,0.204766,4422.9,15.405
5213,16.7302,0.205228,4423.86,15.4331
5214,16.7311,0.205382,4424.83,15.4374
5215,16.7321,0.205197,4425.8,15.4154
5216,16.7331,0.204648,4426.76,15.3655
5217,16.7341,0.203719,4427.72,15.2865
5218,16.7354,0.202401,4428.66,15.178
5219,16.7368,0.200691,4429.59,15.0398
5220,16.7384,0.198596,4430.5,14.8725
5221,16.7403,0.196127,4431.39,14.6772
5222,16.7425,0.193305,4432.26,14.4553
5223,16.7451,0.190153,4433.1,14.2089
5224,16.7481,0.186699,4433.91,13.9402
5225,16.7515,0.182977,4434.69,13.6516
5226,16.7553,0.17902,4435.44,13.3458
5227,16.7595,0.174865,4436.15,13.0256
5228,16.7642,0.170548,4436.83,12.6937
5229,16.7694,0.166105,4437.47,12.3529
5230,16.775,0.161571,4438.08,12.0059
5231,16.7811,0.156981,4438.66,11.6552
5232,16.7876,0.152364,4439.2,11.3031
5233,16.7946,0.14775,4439.71,10.9518
5234,16.802,0.143165,4440.19,10.6032
5235,16.8098,0.138632,4440.64,10.259
5236,16.8179,0.134172,4441.06,9.92068
5237,16.8265,0.129801,4441.45,9.58962
5238,16.8354,0.125535,4441.82,9.26684
5239,16.8446,0.121386,4442.16,8.95322
5240,16.8542,0.117364,4442.48,8.64945
5241,16.864,0.113475,4442.78,8.35606
5242,16.8741,0.109726,4443.06,8.07341
