total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
1219,1066.46,11.2972,0.979861,414.689,35.5069
1220,1070.92,11.0409,1.23141,425.274,44.4344
1221,1077.19,10.6508,1.42784,440.578,51.3061
1222,1084.63,10.1733,1.48462,458.879,53.124
1223,1091.82,9.71543,1.3727,476.327,48.9167
1224,1097.51,9.36813,1.14816,489.707,40.7498
1225,1101.43,9.15139,0.895622,498.364,31.6636
1226,1103.99,9.03617,0.670473,503.376,23.6188
1227,1105.68,8.98495,0.491746,506.105,17.2708
1228,1106.88,8.96984,0.358282,507.552,12.5599
1229,1107.83,8.974,0.26207,508.316,9.18923
1230,1108.64,8.98818,0.194481,508.728,6.84529
1231,1109.38,9.00749,0.148264,508.961,5.26581
1232,1110.08,9.02942,0.117754,509.101,4.24441
1233,1110.77,9.0527,0.0985155,509.194,3.61738
1234,1111.44,9.07665,0.0870087,509.264,3.25387
1235,1112.11,9.10095,0.0804759,509.322,3.05462
1236,1112.78,9.12544,0.0769391,509.373,2.95139
1237,1113.45,9.15001,0.0751177,509.421,2.90193
1238,1114.12,9.17462,0.0742504,509.468,2.88196
1239,1114.79,9.19926,0.0739099,509.514,2.87823
1240,1115.45,9.2239,0.0738636,509.559,2.88366
1241,1116.12,9.24854,0.0739874,509.605,2.89451
1242,1116.79,9.27317,0.0742147,509.65,2.9088
1243,1117.46,9.2978,0.0745102,509.696,2.9255
1244,1118.12,9.32242,0.0748548,509.742,2.94403
1245,1118.79,9.34702,0.0752382,509.788,2.9641
1246,1119.46,9.37162,0.0756547,509.835,2.98555
1247,1120.13,9.3962,0.0761014,509.882,3.00827
1248,1120.8,9.42076,0.0765766,509.929,3.03224
1249,1121.46,9.44531,0.0770795,509.977,3.05742
1250,1122.13,9.46984,0.0776097,510.026,3.0838
1251,1122.8,9.49436,0.0781672,510.075,3.1114
1252,1123.47,9.51886,0.0787521,510.124,3.14021
1253,1124.14,9.54334,0.0793649,510.175,3.17026
1254,1124.81,9.5678,0.080006,510.226,3.20158
1255,1125.48,9.59224,0.080676,510.277,3.2342
1256,1126.15,9.61665,0.0813756,510.33,3.26814
1257,1126.82,9.64105,0.0821058,510.383,3.30347
1258,1127.49,9.66542,0.0828676,510.437,3.34023
1259,1128.16,9.68976,0.0836621,510.492,3.3785
1260,1128.84,9.71408,0.0844909,510.548,3.41834
1261,1129.51,9.73837,0.0853556,510.605,3.45984
1262,1130.18,9.76263,0.0862579,510.663,3.50312
